checklist_id,last_edited_date,country,country_code,state,state_code,county,county_code,iba_code,bcr_code,usfws_code,atlas_block,locality,locality_id,locality_type,observation_date,time_observations_started,observer_id,sampling_event_identifier,protocol_type,protocol_code,project_code,duration_minutes,effort_distance_km,effort_area_ha,number_observers,all_species_reported,group_identifier,trip_comments,X,Y,latitude,longitude,time_to_next_sunset,time_to_next_sunrise,time_from_last_sunrise,time_from_last_sunset,is_up,land_cover,fold_id,cell_id,log_duration,time_of_day,time_of_day_fine,dominant_land_cover,daytimes_alt
S57652587,2019-06-24 12:37:13,United States,US,Montana,US-MT,Missoula,US-MT-063,,10.0,,,MPG Ranch--Baldy Draw (restricted access),L3293950,H,2019-06-19,20:30:00,obs436394,S57652587,Stationary,P21,EBIRD,120,,,1,True,,,-2607295.83993413,1684608.44493669,46.709169499999895,-114.01420890000001,1.05055555555556,9.200555555555551,14.801944444444402,22.954166666666698,True,71,3,1327,4.787491742782046,afternoon/evening,18-21,baseline,late-evening
S57628599,2019-06-23 16:47:25,United States,US,Texas,US-TX,Montgomery,US-TX-339,,25.0,,,Silver Leaf,L766259,P,2019-06-22,07:49:00,obs193353,S57628599,Stationary,P21,EBIRD,10,,,1,True,,,-1566757.7943108,-516904.304905005,30.125084999999498,-95.6878495,12.640555555555599,22.5558333333333,1.4483333333333301,11.3627777777778,True,81,1,15153,2.302585092994046,morning,6-9,baseline,early-morning
S57370878,2019-06-14 14:33:59,United States,US,Arkansas,US-AR,Columbia,US-AR-027,,25.0,,,"32 U.S. 79, Magnolia, Arkansas, US (33.273, -93.214)",L9467519,P,2019-06-14,13:28:00,obs291133,S57370878,Stationary,P21,EBIRD,10,,,1,True,,,-1277362.70744341,-208200.52092386698,33.2733728999996,-93.2138807,6.92277777777778,16.585,7.41583333333333,17.0836111111111,True,22,3,13683,2.302585092994046,afternoon/evening,12-15,developed,mid-day
S57791363,2019-06-29 16:42:26,United States,US,Massachusetts,US-MA,Bristol,US-MA-005,,30.0,,,"Stonehill College, North Easton US-MA (42.0613,-71.0805)",L9556030,P,2019-06-29,07:46:00,obs342615,S57791363,Stationary,P21,EBIRD,375,,,2,True,,,697330.024326049,704869.626418542,42.0613319999999,-71.080464,12.6361111111111,21.4291666666667,2.5786111111111096,11.363055555555599,True,41,2,5981,5.926926025970411,morning,6-9,forest,early-morning
S57297709,2020-07-08 16:05:34,United States,US,Virginia,US-VA,Russell,US-VA-167,,28.0,,o36081H7NW,"Saltville, NW pt 6",L9452300,P,2019-06-10,07:17:00,obs312088,S57297709,Stationary,P21,EBIRD_ATL_VA,6,,,1,True,,,-210591.57510597698,110057.30677443801,36.96730279999971,-81.86510290000001,13.4913888888889,22.8411111111111,1.1575,10.5166666666667,True,41,3,11051,1.791759469228055,morning,6-9,forest,early-morning
S57116888,2019-06-05 17:01:15,United States,US,Minnesota,US-MN,Steele,US-MN-147,,11.0,,,SW 24th Ave ponds,L5926798,P,2019-06-05,09:58:00,obs144023,S57116888,Stationary,P21,EBIRD,2,,,1,True,,Clear with light winds,-1103612.96193916,979505.4070448291,44.072494199999895,-93.2576180000001,10.903333333333302,19.5483333333333,4.4455555555555595,13.1088888888889,True,22,1,3786,0.6931471805599453,morning,9-12,developed,late-morning
S57809441,2019-06-30 10:34:34,United States,US,Idaho,US-ID,Fremont,US-ID-043,,9.0,,,"921 N Highway 20, Ashton US-ID (44.0800,-111.4551)",L9560314,P,2019-06-14,14:10:00,obs1237681,S57809441,Stationary,P21,EBIRD,20,,,1,True,,,-2521739.38754653,1337922.71598485,44.07996899999989,-111.45506599999999,7.00527777777778,15.5347222222222,8.465,17.0025,True,82,2,3742,2.995732273553991,afternoon/evening,12-15,baseline,mid-day
S62406757,2019-12-17 20:15:48,United States,US,Wisconsin,US-WI,Chippewa,US-WI-017,,12.0,,,Chippewa County Mink Frog Route M09 Site 6,L8228130,P,2019-06-29,19:40:00,obs1201859,S62406757,Stationary,P21,EBIRD,5,,,1,True,,,-916738.6121533341,1084362.28543939,45.22995099999989,-91.117763,1.26833333333333,9.66888888888889,14.3397222222222,22.73,True,41,1,2616,1.6094379124341003,afternoon/evening,18-21,forest,late-evening
S57189390,2019-10-31 19:57:03,United States,US,Pennsylvania,US-PA,Bucks,US-PA-017,,29.0,,,"(40.407, -75.376)",L9429264,P,2019-06-08,09:10:00,obs1186153,S57189390,Stationary,P21,EBIRD,5,,,1,True,,climate watch observatio,350071.036860983,497011.781364418,40.407249799999796,-75.3764976,11.333055555555598,20.353888888888896,3.64305555555556,12.676666666666698,True,81,3,7768,1.6094379124341003,morning,9-12,baseline,late-morning
S57744327,2019-06-27 19:44:31,United States,US,New Mexico,US-NM,Bernalillo,US-NM-001,,16.0,,,Albuquerque home,L247656,P,2019-06-27,17:16:00,obs19508,S57744327,Stationary,P21,EBIRD,20,,,1,True,,Cloudy with strong south winds.,-2444137.19703481,259335.073354522,35.0827078999997,-106.65495530000001,3.1472222222222204,12.6477777777778,11.358333333333302,20.853888888888896,True,23,2,12413,2.995732273553991,afternoon/evening,15-18,developed,early-evening
